[2026-07-22 17:12:04] [INFO] Evaluated 45549 BIN items. Flips Found: 255. Cache Queue: 102 pending.
[2026-07-22 17:12:04] [FLIP] [Tier 5] Mythic Bouncy Leggings              | Cost: 129,000      | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Ring                      | Cost: 4,850,000    | Profit: 1,051,209   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Pure Skeleton Master Chestplate     | Cost: 1,200,000    | Profit: 4,151,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Superior Dragon Leggings ✪   | Cost: 10,780,000   | Profit: 1,574,812   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Soldier Helmet        | Cost: 500,000      | Profit: 4,847,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Necrotic Fiery Aurora Leggings      | Cost: 75,000,000   | Profit: 10,740,707  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Necrotic Fiery Aurora Boots         | Cost: 75,000,000   | Profit: 8,432,359   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Bustling Rancher's Boots            | Cost: 8,000,000    | Profit: 2,492,197   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Light Zombie Lord Leggings          | Cost: 1,000,000    | Profit: 5,261,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Titanic Mender Crown ✪✪✪✪✪          | Cost: 8,500,000    | Profit: 1,074,558   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heroic Silent Death                 | Cost: 900,000      | Profit: 4,887,853   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Absolutely Perfect Chestplate - Tie | Cost: 17,990,000   | Profit: 8,213,975   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fabled Giant Cleaver ✪✪✪✪✪          | Cost: 7,000,000    | Profit: 4,244,846   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Mossy Rancher's Boots               | Cost: 9,999,900    | Profit: 2,441,456   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 950,000      | Profit: 4,376,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Pure Super Heavy Leggings           | Cost: 1,000,000    | Profit: 4,360,098   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heroic Dreadlord Sword              | Cost: 299,000      | Profit: 5,102,076   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Pure Zombie Lord Helmet             | Cost: 1,960,000    | Profit: 4,131,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Adaptive Leggings                   | Cost: 650,000      | Profit: 1,392,785   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Ring                      | Cost: 4,890,000    | Profit: 1,011,209   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fabled Pyrochaos Dagger             | Cost: 53,000,000   | Profit: 11,947,905  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 55,800,000   | Profit: 15,148,905  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 300,000      | Profit: 5,121,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ancient Mythos Chestplate           | Cost: 13,840,000   | Profit: 7,224,404   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Ring                      | Cost: 4,900,000    | Profit: 1,001,209   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,999,000    | Profit: 1,202,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Bustling Squash Chestplate          | Cost: 20,820,800   | Profit: 2,480,411   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Necrotic Moogma Leggings ✪✪✪✪✪      | Cost: 2,800,000    | Profit: 3,471,708   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Bouncy Leggings              | Cost: 500,000      | Profit: 4,930,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,499,998    | Profit: 1,701,212   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Spider Ring                         | Cost: 8,000,000    | Profit: 3,801,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ancient Burning Crimson Leggings    | Cost: 30,222,972   | Profit: 3,541,837   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,300,000    | Profit: 1,901,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5]  Spiritual Bonemerang ✪✪✪✪✪        | Cost: 17,000,000   | Profit: 2,303,477   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Light Zombie Soldier Chestplate     | Cost: 499,000      | Profit: 4,842,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,499,999    | Profit: 1,701,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Suspicious Pyrochaos Dagger         | Cost: 54,899,900   | Profit: 5,499,699   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Menacing Balloon Snake ✪✪✪✪✪        | Cost: 11,000,000   | Profit: 3,111,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Snowy Thunderbolt Necklace          | Cost: 8,170,000    | Profit: 6,131,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 1,111,111    | Profit: 4,310,099   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Mythic Skeleton Master Chestplate   | Cost: 2,000,000    | Profit: 3,351,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Loving Burning Aurora Chestplate    | Cost: 33,000,000   | Profit: 3,701,002   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Necrotic Burning Aurora Leggings    | Cost: 32,000,000   | Profit: 4,301,002   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 2,600,000    | Profit: 2,851,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Mythic Skeletor Helmet              | Cost: 450,000      | Profit: 5,050,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heroic Zombie Knight Sword          | Cost: 200,000      | Profit: 5,221,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Renowned Werewolf Helmet ✪✪✪✪✪      | Cost: 24,100,000   | Profit: 5,901,155   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blooming Peony Necklace             | Cost: 1,840,000    | Profit: 1,269,599   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 1,000,000    | Profit: 4,326,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 3,000,000    | Profit: 2,451,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Smart Skeleton Master Boots         | Cost: 300,000      | Profit: 5,041,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Water Hydra Head                    | Cost: 4,300,000    | Profit: 4,401,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 400,000      | Profit: 5,021,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Epic Dreadlord Sword                | Cost: 489,000      | Profit: 4,912,076   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Glacite Helmet                      | Cost: 3,000,000    | Profit: 2,331,060   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 69,000,000   | Profit: 11,754,979  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Bouncy Helmet                  | Cost: 100,000      | Profit: 5,300,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Giant Skeleton Master Chestplate ✪✪ | Cost: 7,340,000    | Profit: 2,276,023   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Slug Boots                   | Cost: 1,000,000    | Profit: 4,432,904   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Titanic Super Heavy Chestplate      | Cost: 400,000      | Profit: 4,951,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Zombie Knight Chestplate ✪✪✪ | Cost: 900,000      | Profit: 4,501,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Waxed Lava Shell Necklace           | Cost: 8,780,000    | Profit: 1,521,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ghostly Boots                       | Cost: 1,400,000    | Profit: 4,361,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,500,000    | Profit: 1,701,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,800,000    | Profit: 1,401,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Soldier Helmet        | Cost: 400,000      | Profit: 4,947,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Spicy Zombie Soldier Cutlass        | Cost: 400,000      | Profit: 5,000,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Spider Ring                         | Cost: 8,000,000    | Profit: 3,801,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fine Soulstealer Bow                | Cost: 1,000,000    | Profit: 4,305,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Pure Skeleton Soldier Chestplate    | Cost: 1,999,999    | Profit: 3,321,212   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 2,499,998    | Profit: 2,899,715   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 999,000      | Profit: 4,372,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Water Hydra Head                    | Cost: 7,000,000    | Profit: 1,701,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,500,000    | Profit: 2,871,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Gentle Zombie Soldier Cutlass       | Cost: 99,000       | Profit: 5,301,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fairy's Polo                        | Cost: 1,500,000    | Profit: 3,851,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fairy's Polo                        | Cost: 1,999,999    | Profit: 3,351,212   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Miner Helmet                        | Cost: 1,500,000    | Profit: 3,901,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ancient Mythos Leggings             | Cost: 35,000,000   | Profit: 6,994,429   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Clean Skeleton Soldier Boots        | Cost: 1,000,000    | Profit: 4,336,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,700,000    | Profit: 1,501,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Goblin Chestplate                   | Cost: 100,000      | Profit: 5,246,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fast Silent Death                   | Cost: 1,000,000    | Profit: 4,787,853   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 3,000,000    | Profit: 2,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Brilliant Lava Shell Necklace       | Cost: 8,999,999    | Profit: 1,301,212   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 9,000,000    | Profit: 1,201,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 9,000,000    | Profit: 1,201,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Snowy Thunderbolt Necklace          | Cost: 4,500,000    | Profit: 4,499,999   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Master Helmet         | Cost: 400,000      | Profit: 4,956,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Miner Helmet                        | Cost: 3,900,000    | Profit: 1,501,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Lord Leggings         | Cost: 1,200,000    | Profit: 4,500,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Skeletor Helmet              | Cost: 1,000,000    | Profit: 4,500,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heavy Zombie Knight Leggings        | Cost: 259,000      | Profit: 5,112,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 399,999      | Profit: 5,021,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Runeblade Artifact                  | Cost: 8,999,000    | Profit: 1,202,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ancient Werewolf Leggings ✪✪✪✪✪     | Cost: 7,000,000    | Profit: 3,026,517   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 57,320,000   | Profit: 14,027,463  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Super Heavy Helmet             | Cost: 300,000      | Profit: 5,071,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Skeleton Master Boots ✪✪✪✪✪  | Cost: 3,000,000    | Profit: 2,341,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Goblin Leggings                     | Cost: 1,300,000    | Profit: 4,026,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Spicy Zombie Knight Sword           | Cost: 200,000      | Profit: 5,221,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Pure Super Heavy Helmet             | Cost: 210,000      | Profit: 5,161,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Flaming Chestplate                  | Cost: 2,444,444    | Profit: 2,926,766   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 4,000,000    | Profit: 1,421,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Master Chestplate     | Cost: 3,000,000    | Profit: 2,351,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Trashy Rod of Champions             | Cost: 22,000,000   | Profit: 6,914,432   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Titanic Zombie Knight Helmet        | Cost: 400,000      | Profit: 5,016,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] ✿ Ancient Infernal Terror Boots     | Cost: 420,000,000  | Profit: 60,949,807  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] ✿ Ancient Infernal Terror Leggings  | Cost: 420,000,000  | Profit: 63,211,223  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Suspicious Deathripper Dagger       | Cost: 62,700,000   | Profit: 19,729,831  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 400,000      | Profit: 5,021,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Renowned Infernal Crimson Helmet    | Cost: 295,000,000  | Profit: 33,431,637  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,000,000    | Profit: 4,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Taurus Helmet                       | Cost: 3,500,000    | Profit: 1,951,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Zombie Soldier Helmet          | Cost: 200,000      | Profit: 5,130,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ancient Hot Terror Leggings ✪✪✪✪✪   | Cost: 40,000,000   | Profit: 18,082,084  | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 500,000      | Profit: 4,850,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Zombie Soldier Boots         | Cost: 179,999      | Profit: 5,153,212   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 1,550,000    | Profit: 3,821,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Rooted Peony Necklace               | Cost: 5,000,000    | Profit: 6,109,599   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fine Machine Gun Shortbow           | Cost: 10,000,000   | Profit: 8,671,584   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Snowy Thunderbolt Necklace          | Cost: 9,500,000    | Profit: 4,801,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Master Leggings       | Cost: 500,000      | Profit: 4,841,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moonglade Ring                      | Cost: 8,000,000    | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heavy Zombie Soldier Chestplate     | Cost: 1,000,000    | Profit: 4,341,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heavy Zombie Soldier Chestplate     | Cost: 500,000      | Profit: 4,841,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Wise Skeleton Master Leggings       | Cost: 3,500,000    | Profit: 1,841,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Legendary Earthen Blade             | Cost: 1,000,000    | Profit: 4,443,075   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Brilliant Molten Necklace           | Cost: 3,670,000    | Profit: 5,079,997   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Loving Hot Aurora Chestplate        | Cost: 10,000,000   | Profit: 2,373,828   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Withered Pyrochaos Dagger           | Cost: 55,000,000   | Profit: 7,494,736   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Suspicious Deathripper Dagger       | Cost: 57,670,000   | Profit: 8,730,599   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Heroic Zombie Soldier Cutlass       | Cost: 500,000      | Profit: 4,900,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fast Conjuring                      | Cost: 500,000      | Profit: 4,998,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Epic Zombie Soldier Cutlass         | Cost: 100,000      | Profit: 5,300,077   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Ancient Perfect Chestplate - Tier X | Cost: 19,999,999   | Profit: 2,348,317   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Pure Rotten Leggings                | Cost: 667,667      | Profit: 4,678,544   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 400,000      | Profit: 4,950,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Absolutely Perfect Boots - Tier XII | Cost: 25,000,000   | Profit: 9,443,792   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Goblin Chestplate                   | Cost: 1,500,000    | Profit: 3,846,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Moogma Leggings                     | Cost: 2,000,000    | Profit: 3,371,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fabled Deathripper Dagger           | Cost: 62,899,000   | Profit: 8,350,778   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Rapid Soulstealer Bow               | Cost: 499,999      | Profit: 4,805,212   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Rabbit Hat                          | Cost: 2,499,999    | Profit: 2,899,714   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 1,499,999    | Profit: 3,850,209   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Suspicious Pyrochaos Dagger         | Cost: 45,999,000   | Profit: 9,495,013   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Slug Boots                          | Cost: 1,000,000    | Profit: 4,350,208   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Fierce Zombie Knight Chestplate     | Cost: 999,999      | Profit: 4,401,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Withered Deathripper Dagger         | Cost: 58,000,000   | Profit: 8,225,519   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Farmer Orb                          | Cost: 13,000,000   | Profit: 5,301,211   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 3,000,000    | Profit: 2,421,210   | Sales/Day: 999  
[2026-07-22 17:12:04] [FLIP] [Tier 5] Blade of the Volcano                | Cost: 3,000,000    | Profit: 2,421,210   | Sales/Day: 999  
